Tochi_1999_HyakuMan_per_Tsubo,Tochi_2010_HyakuMan_per_Tsubo,Tochi_2020_HyakuMan_per_Tsubo,JinkouMitsudo_SenNin_per_km2,City,Block
7.9,3.8,6.4,2,City_C,132
7.7,3.8,6.7,2.2,City_C,118
7.7,2.6,6.9,2.3,City_C,119
7.7,2.8,6.7,2,City_C,123
7.7,3,6.1,2.3,City_C,136
7.6,3,6.6,2.1,City_C,106
7.4,2.8,6.1,1.9,City_C,131
7.3,2.9,6.3,1.8,City_C,108
7.2,3.6,6.1,2.5,City_C,110
7.2,3.2,6,1.8,City_C,126
7.2,3,5.8,1.6,City_C,130
7.1,3,5.9,2.1,City_C,103
7,3.2,4.7,1.4,City_B,51
6.9,3.1,4.9,1.5,City_B,53
6.9,3.2,5.7,2.3,City_C,121
6.9,3.1,5.4,2.1,City_C,140
6.9,3.1,5.1,2.3,City_C,142
6.8,2.8,4.8,1.4,City_B,77
6.8,3,5.5,2.1,City_C,113
6.8,3.2,5.9,2.3,City_C,144
6.7,3.1,4.4,1.4,City_B,66
6.7,3,5,1.7,City_B,78
6.7,3.1,4.7,1.5,City_B,87
6.7,2.5,5.8,1.8,City_C,109
6.7,3.3,5.7,2.1,City_C,125
6.7,3.1,5.6,2.4,City_C,141
6.7,3.3,5.7,2.5,City_C,145
6.7,3,5.2,2.3,City_C,146
6.6,2.9,4.6,1.3,City_B,59
6.6,3,4.4,1.4,City_B,76
6.5,2.8,4.6,1.5,City_B,55
6.5,3,5.8,2.2,City_C,105
6.5,3.2,5.1,2,City_C,111
6.5,3,5.5,1.8,City_C,117
6.5,3,5.2,2,City_C,148
6.4,3.2,4.5,1.5,City_B,52
6.4,2.9,4.3,1.3,City_B,75
6.4,2.7,5.3,1.9,City_C,112
6.4,3.2,5.3,2.3,City_C,116
6.4,2.8,5.6,2.1,City_C,129
6.4,2.8,5.6,2.2,City_C,133
6.4,3.1,5.5,1.8,City_C,138
6.3,3.3,4.7,1.6,City_B,57
6.3,2.5,4.9,1.5,City_B,73
6.3,2.3,4.4,1.3,City_B,88
6.3,3.3,6,2.5,City_C,101
6.3,2.9,5.6,1.8,City_C,104
6.3,2.7,4.9,1.8,City_C,124
6.3,2.8,5.1,1.5,City_C,134
6.3,3.4,5.6,2.4,City_C,137
6.3,2.5,5,1.9,City_C,147
6.2,2.2,4.5,1.5,City_B,69
6.2,2.9,4.3,1.3,City_B,98
6.2,2.8,4.8,1.8,City_C,127
6.2,3.4,5.4,2.3,City_C,149
6.1,2.9,4.7,1.4,City_B,64
6.1,2.8,4,1.3,City_B,72
6.1,2.8,4.7,1.2,City_B,74
6.1,3,4.6,1.4,City_B,92
6.1,3,4.9,1.8,City_C,128
6.1,2.6,5.6,1.4,City_C,135
6,2.2,4,1,City_B,63
6,2.9,4.5,1.5,City_B,79
6,2.7,5.1,1.6,City_B,84
6,3.4,4.5,1.6,City_B,86
6,2.2,5,1.5,City_C,120
6,3,4.8,1.8,City_C,139
5.9,3,4.2,1.5,City_B,62
5.9,3.2,4.8,1.8,City_B,71
