"variable","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"puro",0.0063,-0.5215,0.4192,0.1533,-0.6193,0.2207,0.1656,0.0419,-0.2595,-0.0018
"kakkoii",-0.2122,-0.4383,-0.3059,-0.4183,-0.1454,-0.6059,-0.2338,0.111,-0.166,0.1073
"suki",-0.4062,-0.0214,0.2724,0.1527,0.1435,0.0896,-0.455,-0.4469,-0.0695,0.5447
"kawaii",-0.3085,0.3948,-0.0088,0.1203,-0.4883,-0.089,-0.4462,-0.0766,0.0527,-0.5295
"ippanteki",-0.3206,0.3447,0.2733,-0.1357,-0.1073,-0.4199,0.6402,-0.2769,-0.0767,0.071
"miha",-0.3881,0.1296,0.3146,-0.039,0.3224,0.0754,-0.0584,0.6594,-0.4199,-0.0894
"syoshinsya",0.2944,0.3844,0.2238,-0.3556,-0.3764,-0.0024,-0.1716,0.3499,0.2259,0.4945
"dasai",0.3744,0.0672,0.2834,-0.5452,0.1466,0.0915,-0.1852,-0.3767,-0.4394,-0.2804
"kirai",0.3132,-0.1441,0.5333,0.3222,0.2112,-0.5643,-0.1822,0.0672,0.2606,-0.1558
"hoshii",-0.3412,-0.2665,0.2605,-0.4651,0.114,0.2439,0.0402,-0.0065,0.635,-0.2258
