"kuruma","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10"
"A",-4.3275,0.4796,1.1729,-0.0183,0.762,0.3986,-0.0421,-0.0047,-0.0388,0
"B",-1.9082,3.4509,-0.5246,0.389,-0.7264,-0.1716,0.0068,0.0385,0.0166,0
"C",1.9625,-1.0768,1.5303,0.8595,-0.6824,0.5368,0.0104,-0.0114,0.0052,0
"D",2.8751,1.4659,0.9958,-0.7374,0.19,-0.4989,0.0793,-0.1406,-0.0344,0
"E",-2.135,-1.7379,-0.4259,-1.1834,-0.6175,0.2151,0.1463,-0.0148,0.0232,0
"F",2.3893,0.7379,-0.3412,-0.5951,0.3682,0.4964,-0.1793,0.069,0.0973,0
"G",1.8934,-0.1897,-0.6361,0.0191,0.2299,0.0558,0.1057,0.2027,-0.1043,0
"H",-0.8546,-1.5528,0.548,0.3269,0.1714,-1.0052,-0.0227,0.0957,0.07,0
"I",0.2984,-0.3807,-1.3449,0.8468,0.5609,0.1655,0.1692,-0.1311,0.0407,0
"J",-0.1935,-1.1964,-0.9742,0.0929,-0.2562,-0.1926,-0.2736,-0.1033,-0.0756,0
