class,no,kokugo1,kokugo2,seikei1,seikei2,sugaku1,sugaku2,butsuri1,butsuri2,eigo1,eigo2
1,1,58,51,67,52,69,28,69,24,82,62
1,2,55,47,66,35,74,69,78,43,72,53
1,3,58,58,83,57,53,37,78,34,53,44
1,4,37,42,60,46,60,16,81,22,31,11
1,5,69,61,60,21,45,50,90,40,40,27
1,6,63,63,61,34,28,52,69,34,85,67
1,7,57,63,81,62,38,20,94,16,53,45
1,8,49,74,74,78,45,31,76,24,60,65
1,9,26,42,41,21,53,32,73,13,55,66
1,10,34,34,73,46,50,12,62,2,60,54
1,11,49,62,49,66,83,53,91,58,79,65
1,12,46,72,74,72,41,34,86,22,51,42
1,13,37,67,75,73,60,43,86,32,59,69
1,14,54,64,66,30,27,46,79,38,62,87
1,15,57,55,50,44,41,16,83,20,33,60
1,16,8,68,37,38,66,50,72,27,55,19
1,17,69,84,77,74,56,67,87,68,93,95
1,18,62,81,85,71,80,99,94,49,74,62
1,19,43,46,72,69,86,63,85,43,88,77
1,20,46,62,45,53,61,55,95,52,36,44
1,21,43,51,90,71,78,69,84,29,59,40
1,22,42,51,72,69,63,44,85,35,30,20
1,23,33,50,56,79,29,11,70,32,32,31
1,24,44,44,82,66,76,27,86,48,67,53
1,25,55,60,53,38,60,37,83,27,75,63
1,26,44,34,14,21,24,17,66,10,59,42
1,27,48,60,44,29,73,18,82,28,75,57
1,28,41,66,41,57,49,26,86,46,48,41
1,29,44,54,33,18,68,17,78,17,79,26
1,30,49,40,75,54,53,16,73,18,40,21
2,1,72,79,74,74,18,48,70,24,50,29
2,2,26,40,57,54,50,28,64,20,45,41
2,3,53,48,51,72,92,53,88,66,65,32
2,4,51,65,69,60,42,64,74,33,61,40
2,5,41,76,53,49,54,31,63,19,62,44
2,6,60,39,45,50,25,16,42,19,45,21
2,7,54,79,99,75,24,74,92,38,90,81
2,8,40,63,78,34,51,44,49,36,50,33
2,9,70,74,89,82,69,53,66,30,86,79
2,10,61,57,56,54,49,37,54,29,81,49
2,11,25,58,82,77,60,13,66,25,72,25
2,12,37,76,84,76,35,33,56,27,70,65
2,13,49,69,82,70,31,30,60,28,59,49
2,14,60,71,75,55,71,50,66,45,74,48
2,15,59,52,58,45,40,62,56,27,52,22
2,16,45,80,80,85,56,32,57,32,38,24
2,17,39,50,63,18,70,45,81,20,72,46
2,18,61,59,71,59,47,44,76,36,47,35
2,19,69,69,68,71,88,68,69,27,87,75
2,20,54,48,75,30,34,23,42,20,41,40
2,21,68,86,97,87,65,89,86,46,82,80
2,22,40,56,52,18,52,12,54,19,51,16
2,23,61,69,72,37,74,54,63,25,87,78
2,24,45,39,59,41,30,18,48,7,55,38
2,25,31,61,34,32,56,34,56,7,43,46
2,26,57,77,69,41,48,54,64,28,75,56
2,27,50,44,48,14,96,63,68,18,64,35
2,28,50,45,85,64,53,53,80,53,62,38
2,29,54,53,69,45,31,23,43,38,43,18
2,30,47,49,75,47,21,8,38,24,42,55
