学科名,設置者,卒業者数,就職希望者数,就職希望率,就職者数,未就職者数,就職率,前年同期,前年同期比
普通,国立,2582,7,0.3,1,6,14.3,12.5,1.8
普通,公立,400537,27759,6.9,17143,10616,61.8,63.6,-1.8
普通,私立,291429,12905,4.4,8172,4733,63.3,65.5,-2.2
専門学科（農業）,国立,0,0,NA,0,0,NA,NA,NA
専門学科（農業）,公立,21019,9871,47.0,7577,2294,76.8,77.7,-0.9
専門学科（農業）,私立,85,4,4.7,3,1,75.0,71.4,3.6
専門学科（工業）,国立,183,2,1.1,1,1,50.0,0.0,NA
専門学科（工業）,公立,55913,36794,65.8,32717,4077,88.9,89.3,-0.4
専門学科（工業）,私立,7035,3639,51.7,3091,548,84.9,86.3,-1.4
専門学科（商業）,国立,0,0,NA,0,0,NA,NA,NA
専門学科（商業）,公立,43177,15048,34.9,12239,2809,81.3,83.1,-1.8
専門学科（商業）,私立,7583,2052,27.1,1598,454,77.9,81.2,-3.3
専門学科（水産）,国立,0,0,NA,0,0,NA,NA,NA
専門学科（水産）,公立,2141,1213,56.7,937,276,77.2,81.2,-4.0
専門学科（水産）,私立,0,0,NA,0,0,NA,90.0,NA
専門学科（家庭）,国立,0,0,NA,0,0,NA,NA,NA
専門学科（家庭）,公立,6589,1857,28.2,1548,309,83.4,84.7,-1.3
専門学科（家庭）,私立,3938,1742,44.2,1231,511,70.7,71.8,-1.1
専門学科（看護3年課程3年次）,公立,160,3,1.9,1,2,33.3,0.0,33.3
専門学科（看護3年課程3年次）,私立,557,9,1.6,3,6,33.3,58.8,-25.5
専門学科（看護5年課程3年次）,公立,869,3,0.3,1,2,33.3,40.0,-6.7
専門学科（看護5年課程3年次）,私立,2119,13,0.6,4,9,30.8,17.9,12.9
専門学科（看護5年課程5年次）,公立,867,784,90.4,733,51,93.5,94.5,-1.0
専門学科（看護5年課程5年次）,私立,2071,2002,96.7,1780,222,88.9,87.2,1.7
専門学科（情報）,公立,977,210,21.5,170,40,81.0,79.7,1.3
専門学科（情報）,私立,447,152,34.0,115,37,75.7,81.3,-5.6
専門学科（福祉）,公立,1333,507,38.0,423,84,83.4,83.7,-0.3
専門学科（福祉）,私立,762,310,40.7,211,99,68.1,70.5,-2.4
専門学科（その他）,国立,37,0,0.0,0,0,NA,NA,NA
専門学科（その他）,公立,27189,934,3.4,545,389,58.4,61.8,-3.4
専門学科（その他）,私立,6199,479,7.7,363,116,75.8,77.3,-1.5
総合学科,国立,275,2,0.7,1,1,50.0,40.0,10.0
総合学科,公立,45373,10728,23.6,7894,2834,73.6,75.9,-2.3
総合学科,私立,3420,906,26.5,606,300,66.9,66.3,0.6
