高等学校　卒業後の状況　都道府県別　状況別卒業者数,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
計　国立,,,,,,,,,,,,,,,,,,（％）,（％）,（％）,（％）
区分,計,A大学等進学者,B専修学校（専門課程）進学者,C専修学校（一般課程）等入学者,D公共職業能力開発施設等入学者,E就職者等（左記A～Dを除く。）,E就職者等（左記A～Dを除く。）,E就職者等（左記A～Dを除く。）,E就職者等（左記A～Dを除く。）,F左記以外の者,G不詳・死亡,左記A，B，C，Dのうち就職している者（再掲）,左記A，B，C，Dのうち就職している者（再掲）,左記A，B，C，Dのうち就職している者（再掲）,左記E有期雇用労働者のうち雇用契約期間が一年以上、かつフルタイム勤務相当の者（再掲）,就職者（再掲）,Aのうち通信教育部を除く進学者,大学等進学率,専修学校（専門課程）進学率,就職率,通信教育部を除く進学率
区分,計,A大学等進学者,B専修学校（専門課程）進学者,C専修学校（一般課程）等入学者,D公共職業能力開発施設等入学者,自営業主等,常用労働者,常用労働者,臨時労働者,F左記以外の者,G不詳・死亡,計,自営業主等・無期雇用労働者,雇用契約期間が一年以上、かつフルタイム勤務相当の者,Aのうち通信教育部を除く進学者,就職者（再掲）,Aのうち通信教育部を除く進学者,大学等進学率,専修学校（専門課程）進学率,就職率,通信教育部を除く進学率
区分,計,A大学等進学者,B専修学校（専門課程）進学者,C専修学校（一般課程）等入学者,D公共職業能力開発施設等入学者,自営業主等,無期雇用労働者,有期雇用労働者,臨時労働者,F左記以外の者,G不詳・死亡,計,自営業主等・無期雇用労働者,雇用契約期間が一年以上、かつフルタイム勤務相当の者,Aのうち通信教育部を除く進学者,就職者（再掲）,Aのうち通信教育部を除く進学者,大学等進学率,専修学校（専門課程）進学率,就職率,通信教育部を除く進学率
北海道,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
青森県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
岩手県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
宮城県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
秋田県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
山形県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
福島県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
茨城県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
栃木県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
群馬県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
埼玉県,154,126,11,－,1,－,4,－,－,12,－,－,－,－,－,4,126,81.8,7.1,2.6,81.8
千葉県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
東京都,1045,665,1,19,－,－,－,－,1,359,－,－,－,－,－,－,665,63.6,0.1,－,63.6
神奈川県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
新潟県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
富山県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
石川県,121,71,－,32,－,－,－,－,－,18,－,－,－,－,－,－,71,58.7,－,－,58.7
福井県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
山梨県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
長野県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
岐阜県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
静岡県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
愛知県,226,200,5,－,－,－,1,－,－,20,－,－,－,－,－,1,200,88.5,2.2,0.4,88.5
三重県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
滋賀県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
京都府,148,108,1,－,1,－,2,－,－,36,－,－,－,－,－,2,108,73.0,0.7,1.4,73.0
大阪府,423,277,3,139,－,－,1,－,－,3,－,1,1,－,－,2,275,65.5,0.7,0.5,65.0
兵庫県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
奈良県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
和歌山県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
鳥取県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
島根県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
岡山県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
広島県,393,264,1,123,2,－,1,－,－,2,－,－,－,－,－,1,264,67.2,0.3,0.3,67.2
山口県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
徳島県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
香川県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
愛媛県,115,105,－,6,－,－,1,－,－,3,－,－,－,－,－,1,105,91.3,－,0.9,91.3
高知県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
福岡県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
佐賀県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
長崎県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
熊本県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
大分県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
宮崎県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
鹿児島県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
沖縄県,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－,－
